KM_id,LastName,FirstName,gender,age,faction,wing,pazam_knesset,in_gov,in_col
214,ליברמן,אביגדור,זכר,62,ישראל ביתנו,ימין,9,NO,NO
45,הנגבי,צחי,זכר,63,הליכוד,ימין,12,YES,YES
69,כץ,ישראל,זכר,65,הליכוד,ימין,10,YES,YES
695,שטייניץ,יובל,זכר,62,הליכוד,ימין,9,YES,YES
222,נהרי,משולם,זכר,69,שס,ימין,9,YES,YES
35,גפני,משה,זכר,68,יהדות התורה,ימין,12,NO,YES
528,ליצמן,יעקב,זכר,71,יהדות התורה,ימין,9,YES,YES
1,אדלשטיין,יולי יואל,זכר,62,הליכוד,ימין,10,YES,YES
212,כץ,חיים,זכר,73,הליכוד,ימין,9,YES,YES
105,פרץ,עמיר,זכר,68,העבודה,שמאל,12,YES,YES
208,טיבי,אחמד,זכר,62,הרשימה המשותפת,שמאל,9,NO,NO
563,פרוש,מאיר,זכר,65,יהדות התורה,ימין,10,YES,YES
580,כהן,יצחק,זכר,68,שס,ימין,10,YES,YES
90,נתניהו,בנימין,זכר,71,הליכוד,ימין,12,YES,YES
725,סער,גדעון,זכר,54,הליכוד,ימין,7,NO,YES
1031,מרגי,יעקב,זכר,45,הרשימה המשותפת,שמאל,2,NO,NO
754,אייכלר,ישראל,זכר,65,יהדות התורה,ימין,7,NO,YES
2291,דרעי,אריה מכלוף,זכר,61,שס,ימין,7,YES,YES
771,דיכטר,אבי,זכר,68,הליכוד,ימין,6,NO,YES
768,אלקין,זאב,זכר,49,הליכוד,ימין,7,YES,YES
814,מקלב,אורי,זכר,63,יהדות התורה,ימין,7,YES,YES
830,אקוניס,אופיר,זכר,47,הליכוד,ימין,6,YES,YES
837,עמאר,חמד,זכר,56,ישראל ביתנו,ימין,5,NO,NO
843,הורוביץ,ניצן,זכר,55,מרצ,שמאל,4,NO,NO
826,לוין,יריב,זכר,51,הליכוד,ימין,6,NO,YES
823,יעלון,משה,זכר,70,יש עתיד,מרכז,6,NO,NO
864,בנט,נפתלי,זכר,48,ימינה,ימין,4,NO,NO
914,ביטן,דוד,זכר,60,הליכוד,ימין,4,NO,YES
912,אמסלם,דוד,זכר,60,הליכוד,ימין,4,YES,YES
